reach_time,algo_time,percentage
73.3029,9859.6329,0.0074
73.3029,9888.1441,0.0074
73.3030,9901.1043,0.0074
73.3030,9913.9366,0.0074
73.3030,9914.5347,0.0074
73.3030,9928.6549,0.0074
73.3030,9943.8054,0.0074
73.3031,9956.1451,0.0074
73.3031,9970.5813,0.0074
73.3031,9998.4628,0.0073
73.3031,10013.8595,0.0073
73.3031,10014.4558,0.0073
73.3032,10082.5169,0.0073
73.3032,10083.1197,0.0073
73.3032,10110.2313,0.0073
73.3032,10123.2664,0.0072
73.3032,10137.0976,0.0072
73.3032,10152.3820,0.0072
73.3033,10166.4312,0.0072
73.3033,10180.1746,0.0072
73.3033,10206.2776,0.0072
73.3033,10206.8814,0.0072
73.3033,10221.5881,0.0072
73.3034,10249.1675,0.0072
73.3034,10262.4269,0.0071
73.3034,10276.2032,0.0071
73.3034,10292.1055,0.0071
73.3034,10292.7183,0.0071
73.3034,10306.1440,0.0071
73.3035,10318.6575,0.0071
73.3035,10344.4545,0.0071
73.3035,10360.0594,0.0071
73.3035,10372.8950,0.0071
73.3035,10373.5138,0.0071
73.3036,10386.2308,0.0071
73.3036,10386.9401,0.0071
73.3036,10400.0913,0.0070
73.3036,10413.1074,0.0070
73.3036,10413.7213,0.0070
73.3036,10454.9839,0.0070
73.3037,10469.1681,0.0070
73.3037,10483.1805,0.0070
73.3037,10498.1230,0.0070
73.3037,10498.7457,0.0070
73.3037,10525.0667,0.0070
73.3038,10539.0228,0.0070
73.3038,10539.7373,0.0070
73.3038,10553.2111,0.0069
73.3038,10553.8348,0.0069
73.3038,10583.0077,0.0069
73.3038,10597.5104,0.0069
73.3039,10610.5345,0.0069
73.3039,10623.7240,0.0069
73.3039,10640.5189,0.0069
73.3039,10654.1605,0.0069
73.3039,10666.8086,0.0069
73.3040,10692.3155,0.0069
73.3040,10693.6659,0.0069
73.3040,10708.8525,0.0068
73.3040,10709.4734,0.0068
73.3040,10724.0273,0.0068
73.3041,10725.2172,0.0068
73.3041,10739.5555,0.0068
73.3041,10752.6208,0.0068
73.3041,10753.3440,0.0068
73.3041,10766.9105,0.0068
73.3042,10767.5257,0.0068
73.3042,10795.5496,0.0068
73.3042,10796.1719,0.0068
73.3042,10809.5139,0.0068
73.3042,10823.4518,0.0068
73.3042,10836.6226,0.0068
73.3043,10853.3603,0.0068
73.3043,10866.6656,0.0067
73.3043,10881.2707,0.0067
73.3043,10881.8918,0.0067
73.3043,10895.1347,0.0067
73.3044,10895.7570,0.0067
73.3044,10909.4405,0.0067
73.3044,10910.1613,0.0067
73.3044,10925.4459,0.0067
73.3044,10939.1423,0.0067
73.3045,10939.7591,0.0067
73.3045,10954.0788,0.0067
73.3045,10982.8428,0.0067
73.3045,10983.4699,0.0067
73.3045,11013.5800,0.0067
73.3046,11014.8176,0.0067
73.3046,11042.9828,0.0066
73.3046,11043.6138,0.0066
73.3046,11044.2478,0.0066
73.3046,11057.5736,0.0066
73.3046,11058.2012,0.0066
73.3047,11058.8406,0.0066
73.3047,11059.4747,0.0066
73.3047,11060.0575,0.0066
73.3047,11089.4771,0.0066
73.3047,11090.1083,0.0066
73.3048,11102.8819,0.0066
73.3048,11116.0665,0.0066
73.3048,11116.7027,0.0066
73.3048,11156.9938,0.0066
73.3048,11170.6584,0.0066
73.3049,11213.1447,0.0065
73.3049,11213.7802,0.0065
73.3049,11239.6762,0.0065
73.3049,11240.4097,0.0065
73.3049,11253.5989,0.0065
73.3049,11254.2323,0.0065
73.3050,11282.6586,0.0065
73.3050,11310.6562,0.0065
